Marque,Modèle,Année,Kilométrage,Energie,Puissance fiscale,Puissance (ch.din),Cylindrée,Boite vitesse,Catégorie,Prix
dongfeng,sx3,2020,65000,essence,8,0,1500,Manuelle,Occasion,52000
bmw,x2,2020,76000,essence,8,0,1500,Automatique,Occasion,122000
kia,sonet,2024,100,essence,6,115,1497,Automatique,Occasion,92500
peugeot,2081.2lmcaactive,2024,0,essence,4,75,1199,Manuelle,Neuf,64490
suzuki,celeriopopulaire1.0lgl,2024,0,essence,4,68,998,Manuelle,Neuf,28620
ssangyong,tivoli,2018,83000,essence,7,0,1598,Manuelle,Occasion,50000
opel,astragtc,2015,220000,essence,7,140,4000,Manuelle,Occasion,43000
chery,tiggo7pro,2024,0,essence,9,147,1699,Automatique,Occasion,101000
hyundai,ioniq577kwh4wdhg,2024,0,electrique,21,325,0,Automatique,Neuf,210950
volkswagen,virtus1.0ltopline,2024,0,essence,7,116,999,Automatique,Neuf,86980
landrover,discovery,2020,87000,diesel,8,0,2500,Automatique,Occasion,235000
mg,hs,2022,105000,essence,10,0,2000,Automatique,Occasion,68000
haval,jolion,2021,40000,essence,9,143,1599,Automatique,Occasion,88000
mercedesbenz,classee,2018,78000,essence,9,156,1595,Automatique,Occasion,139000
hyundai,staria9places2.2crdibva4wdluxe,2024,0,diesel,11,177,2199,Automatique,Neuf,280000
ds,7crossback,2021,140000,essence,10,0,1998,Automatique,Occasion,105000
porsche,cayenne,2011,176000,diesel,15,240,3000,Automatique,Occasion,125000
peugeot,2008,2018,125000,essence,6,155,1200,Automatique,Occasion,55000
mitsubishi,l200sportero,2022,19000,diesel,8,0,2400,Automatique,Occasion,168000
kia,picanto,2021,29000,essence,5,84,1200,Manuelle,Occasion,47500
chery,tiggo7pro,2022,40000,essence,9,147,1599,Automatique,Occasion,88000
peugeot,3008,2017,130000,essence,7,130,1200,Manuelle,Occasion,65000
bmw,série7,2009,150000,essence,31,326,5000,Automatique,Occasion,92000
mercedesbenz,classea,2022,20000,essence,8,0,1599,Automatique,Occasion,158000
landrover,rangeroversport,2014,183500,essence,24,340,2995,Automatique,Occasion,160000
citroën,xantia,1998,280000,diesel,7,110,1761,Manuelle,Occasion,13000
honda,crv,2018,60000,essence,10,193,1000,Automatique,Occasion,95000
fiat,500x,2018,57500,essence,7,0,1400,Automatique,Occasion,65000
ford,ecosport,2022,19000,essence,7,125,1000,Manuelle,Occasion,78000
volkswagen,tiguan,2018,104000,essence,8,0,1398,Automatique,Occasion,117000
fiat,tipoberline1.4l2024mid,2024,0,essence,5,95,1368,Manuelle,Neuf,81500
mahindra,kuv100,2020,58000,essence,5,0,899,Manuelle,Occasion,20000
mini,countryman1.5lbvafavoured,2024,0,essence,9,156,1499,Automatique,Neuf,195900
peugeot,407,2007,244000,diesel,8,138,2080,Manuelle,Occasion,35000
hyundai,i20,2022,56000,essence,5,84,1200,Manuelle,Occasion,65000
fiat,500,2022,36000,hybride essence,4,69,999,Manuelle,Occasion,53000
mercedesbenz,classea,2013,138000,essence,6,122,1559,Manuelle,Occasion,60000
dacia,duster,2018,52000,essence,7,114,1600,Manuelle,Occasion,59500
bmw,x4,2018,140000,diesel,10,0,2000,Automatique,Occasion,139000
audi,a4,2014,199000,essence,7,120,1800,Manuelle,Occasion,53000
skoda,kushaq1.0tsibvastyle,2024,0,essence,7,116,999,Automatique,Neuf,89980
mercedesbenz,cla,2020,117000,diesel,6,0,1500,Automatique,Occasion,148000
ds,4crossback,2017,150000,essence,9,165,1600,Automatique,Occasion,54000
nissan,qashqai,2016,95000,essence,6,0,1198,Manuelle,Occasion,63500
mercedesbenz,classes,2006,215000,essence,29,388,5461,Automatique,Occasion,80000
audi,q2,2021,75000,essence,8,150,1498,Automatique,Occasion,125000
porsche,panamera,2010,150000,essence,30,400,4798,Automatique,Occasion,185000
kia,niro1.6lex,2024,0,essence | hybride,5,141,1580,Automatique,Neuf,139980
volkswagen,polo,2021,67000,essence,4,80,999,Manuelle,Occasion,52500
fiat,fiorinocombi1.3lmultijet,2024,0,diesel,4,75,1248,Manuelle,Neuf,82000
mitsubishi,attragepopulaire1.2lglxbvmpopulaire,2024,0,essence,4,78,0,,Neuf,34662
bmw,x2,2024,0,essence,8,156,1999,Automatique,Occasion,199000
volkswagen,golf7,2015,54000,essence,5,0,1198,Manuelle,Occasion,58000
peugeot,4008,2014,99000,essence,9,150,2000,Manuelle,Occasion,47900
honda,crv,2019,158000,essence,11,0,1498,Automatique,Occasion,85000
mg,ezselectriquemy2023,2024,0,electrique,9,177,0,Automatique,Neuf,116950
renault,kwidpopulaire,2023,23000,essence,4,64,1000,Manuelle,Occasion,38000
mercedesbenz,classeccoupé,2012,168000,essence,9,156,1796,Automatique,Occasion,77000
seat,ateca1.4ltsifr,2024,0,essence,8,150,1395,Automatique,Neuf,139980
volkswagen,caddy,2020,93000,diesel,6,102,1600,Manuelle,Occasion,51000
ford,puma,2020,10000,hybride essence,6,0,1000,Manuelle,Occasion,79000
mercedesbenz,classec,2022,40000,essence,9,170,1600,Automatique,Occasion,205000
renault,kadjar,2021,98000,essence,7,140,1197,Automatique,Occasion,83000
landrover,rangeroversport,2023,12000,hybride rechargeable essence,28,400,3000,Automatique,Occasion,740000
bmw,série1,2017,126000,essence,7,0,1499,Manuelle,Occasion,68000
mitsubishi,l200doublecabine2.5ldid,2024,0,diesel,8,110,2477,Manuelle,Neuf,155000
bmw,série2grancoupé,2022,21000,essence,8,0,1200,Automatique,Occasion,135000
mg,zs,2022,80000,essence,7,0,1399,Automatique,Occasion,75000
seat,ibiza,2020,50000,essence,6,0,1599,Manuelle,Occasion,67000
ford,ecosport,2022,67000,essence,7,125,1000,Manuelle,Occasion,69000
toyota,hiacevan3.0ldiesel,2024,0,diesel,10,92,2986,Manuelle,Neuf,79900
bmw,série4grancoupé,2020,107000,essence,7,0,1800,Automatique,Occasion,118000
kia,rio5p,2019,69000,essence,5,84,1197,Manuelle,Occasion,47000
mercedesbenz,classee,2021,100756,hybride rechargeable diesel,11,194,2000,Automatique,Occasion,240000
renault,kadjar,2019,70000,essence,7,0,1200,Manuelle,Occasion,68000
byd,tangevbev,2024,0,electrique,9,516,0,Automatique,Neuf,229990
audi,a3berline,2014,130000,essence,5,0,1197,Manuelle,Occasion,52000
mercedesbenz,classea,2014,180000,essence,6,122,1595,Automatique,Occasion,68500
mercedesbenz,glccoupé,2018,39000,diesel,9,170,2143,Automatique,Occasion,220000
bmw,série3coupé,2009,219000,essence,7,122,1600,Manuelle,Occasion,44800
mahindra,pickupdc2.2ldiesel4x4s6,2024,0,diesel,7,140,2179,Manuelle,Neuf,78046
ford,focus,2018,100000,essence,6,125,999,Manuelle,Occasion,52200
renault,megane,2007,321000,essence,6,0,1000,Manuelle,Occasion,22900
volkswagen,polosedan,2020,170000,essence,5,85,1660,Manuelle,Occasion,41300
mitsubishi,pajero,2001,384000,diesel,10,0,3200,Automatique,Occasion,59000
seat,tarraco,2024,13000,essence,9,0,1398,Automatique,Occasion,159000
volkswagen,golf7,2020,200000,essence,5,0,1199,Automatique,Occasion,69000
fiat,500x,2018,60000,essence,7,0,1399,Automatique,Occasion,65000
volkswagen,golf8,2023,40000,essence,8,0,1400,Automatique,Occasion,139000
skoda,octavia1.4tsibvaselection,2024,0,essence,8,150,1395,Automatique,Neuf,129980
audi,q5,2011,220000,essence,13,0,2000,Automatique,Occasion,62000
toyota,hiluxdoublecabine,2020,90000,diesel,8,0,2400,Manuelle,Occasion,150000
fiat,strada,2001,228000,diesel,7,0,1099,Manuelle,Occasion,24000
opel,corsa1.2turboedition,2024,0,essence,6,100,1199,Manuelle,Neuf,71900
volkswagen,golf8,2021,45000,essence,6,0,1000,Manuelle,Occasion,89500
renault,koleos,2017,96000,diesel,7,0,0,Manuelle,Occasion,98000
dacia,duster1.5ldci4x2bvaconfort,2024,0,diesel,6,109,1461,Automatique,Neuf,101350
landrover,rangeroverevoque,2019,40000,diesel,9,150,2000,Automatique,Occasion,195000
dodge,ram,2019,65000,essence,18,0,6500,Automatique,Occasion,212000
citroën,jumpyfourgon,2015,183000,diesel,6,0,1598,Manuelle,Occasion,38000
bmw,série3,2013,210000,essence,7,136,1600,Automatique,Occasion,63500
geely,gc6,2021,77000,essence,6,0,1498,Manuelle,Occasion,35000
mercedesbenz,classec,2020,69000,hybride essence,10,184,1497,Automatique,Occasion,165000
peugeot,208,2022,37000,essence,4,0,1198,Manuelle,Occasion,45500
baicyx,kenbos2,2017,120000,essence,7,112,1498,Manuelle,Occasion,35000
porsche,cayennecoupé,2023,53000,essence,23,340,2995,Automatique,Occasion,560000
jac,t8dc2.0lctidiesel4x4,2024,0,diesel,7,137,1999,Manuelle,Neuf,105000
peugeot,3008,2009,261000,essence,7,0,1598,Manuelle,Occasion,32000
mahindra,scorpiosuv,2013,328000,diesel,8,0,2498,Manuelle,Occasion,31000
mercedesbenz,classea,2020,101000,essence,7,0,1298,Automatique,Occasion,129000
seat,ibiza,2020,100000,essence,6,0,1599,Automatique,Occasion,68000
audi,q3,2017,66000,essence,8,0,0,Automatique,Occasion,103000
bmw,série1,2013,169000,essence,7,136,1499,Automatique,Occasion,52000
volkswagen,amarok,2016,200000,diesel,10,122,2000,Manuelle,Occasion,79000
mercedesbenz,gle,2021,50000,hybride rechargeable essence,12,211,4000,Automatique,Occasion,340000
mitsubishi,pajerosport,2002,450000,diesel,10,99,1998,Manuelle,Occasion,36000
mercedesbenz,classee,2010,199000,essence,11,0,1789,Automatique,Occasion,59000
peugeot,2008,2014,162000,essence,5,82,1199,Manuelle,Occasion,36000
mercedesbenz,glccoupé,2015,106000,essence,13,211,1999,Automatique,Occasion,225000
bmw,série5,2016,119000,essence,9,0,1600,Automatique,Occasion,109000
mercedesbenz,glb,2021,111000,diesel,9,0,2000,Automatique,Occasion,210000
honda,zrv1.5lcvt,2024,0,essence,11,182,1498,Automatique,Neuf,149990
mercedesbenz,classeccoupé,2019,75000,essence,10,184,2000,Automatique,Occasion,175000
audi,a3berline,2022,56000,essence,8,0,1395,Automatique,Occasion,119000
peugeot,partner,2013,218000,diesel,5,0,1600,Manuelle,Occasion,27000
citroën,c4,2012,109000,essence,9,120,1598,Automatique,Occasion,38000
jaguar,epace,2020,95000,essence,12,0,1999,Automatique,Occasion,175000
citroën,c4coupé,2007,180000,essence,7,110,1587,Manuelle,Occasion,24000
bmw,serie15p118ieditioncolorvision,2024,0,essence,8,140,1499,Automatique,Neuf,167500
honda,accord1.5lturbo24,2024,0,essence,10,182,1498,Automatique,Neuf,189990
seat,leon,2014,78000,essence,5,110,1197,Manuelle,Occasion,51000
peugeot,landtrekdoublecabine1.9ldiesel4x4,2024,0,diesel,6,150,1910,Manuelle,Neuf,102990
landrover,rangeroversport,2011,95000,diesel,16,245,2993,Automatique,Occasion,145000
mercedesbenz,classeccoupé,2017,270000,essence,9,0,1595,Automatique,Occasion,115000
mercedesbenz,classea,2014,200000,essence,6,0,1595,Manuelle,Occasion,50000
volvo,xc602.0lplusdark,2024,0,essence | hybride léger,15,250,1969,Automatique,Neuf,299900
mercedesbenz,classec,2013,260000,essence,9,156,899,Automatique,Occasion,72000
peugeot,2008,2021,156000,essence,7,130,1199,Automatique,Occasion,80000
suzuki,swift,2017,140000,essence,5,0,900,Manuelle,Occasion,34000
toyota,chr,2020,80000,essence,6,116,1198,Automatique,Occasion,75000
volkswagen,passat,2007,212000,essence,7,0,1598,Manuelle,Occasion,28000
peugeot,308gt1.2lpuretech130chbva,2024,0,essence,7,130,1199,Automatique,Neuf,120900
seat,ibiza1.0ltsibvaxcellence,2024,0,essence,6,115,999,Automatique,Neuf,84980
peugeot,3008,2018,140000,essence,7,0,1200,Automatique,Occasion,82000
citroën,c5,2012,300000,diesel,6,0,899,Manuelle,Occasion,40500
nissan,navara,2009,364000,diesel,8,0,2488,Automatique,Occasion,49000
volkswagen,golf7,2019,156000,essence,6,110,1200,Automatique,Occasion,67000
opel,comboxl1.6ldiesel24confortl2h11000kg,2024,0,diesel,5,92,1560,Manuelle,Neuf,69900
mitsubishi,pajero2.8l,2024,0,diesel,11,125,2835,Manuelle,Neuf,196500
mercedesbenz,classec,2014,158000,essence,8,0,1598,Automatique,Occasion,99000
bmw,série5,2019,100000,essence,10,0,2000,Automatique,Occasion,135000
landrover,rangeroversport,2007,208000,diesel,13,190,2700,Automatique,Occasion,85000
toyota,chr,2019,140000,essence,6,116,1197,Automatique,Occasion,75000
volkswagen,passat,2011,345000,essence,7,0,1600,Manuelle,Occasion,37000
dacia,dokkervan,2020,97000,diesel,6,75,1461,Manuelle,Occasion,42000
hyundai,grandi10,2023,46000,essence,5,83,1198,Manuelle,Occasion,51500
bmw,série2grancoupé,2020,61000,essence,8,0,1498,Automatique,Occasion,120000
audi,a6,2015,117000,essence,10,0,1798,Automatique,Occasion,99500
volkswagen,golf8,2021,110000,essence,6,0,1000,Manuelle,Occasion,87500
volkswagen,golf6,2011,168000,essence,5,0,1197,Manuelle,Occasion,41000
skoda,superb,2021,30000,essence,8,0,1599,Automatique,Occasion,125000
hyundai,coupe,2003,138000,essence,7,0,1598,Manuelle,Occasion,30000
kia,rio5p,2023,31000,essence,5,84,1197,Manuelle,Occasion,61000
nissan,patrol,1990,417000,diesel,17,0,4198,Manuelle,Occasion,32000
toyota,chr,2020,65000,essence,6,116,1197,Manuelle,Occasion,70000
bako,beestart,2024,0,electrique,1,3,0,Automatique,Neuf,16210
porsche,panamera,2014,100000,essence,20,0,0,Automatique,Occasion,255000
kia,sportage,2012,324000,diesel,11,177,1995,Automatique,Occasion,54000
dacia,dokkervan,2021,150000,diesel,6,0,1500,Manuelle,Occasion,33800
toyota,rav4hybride2.5lhybride,2024,0,essence | hybride,9,218,2478,Automatique,Neuf,164800
volkswagen,golf7,2018,202000,essence,6,110,1200,Manuelle,Occasion,58000
peugeot,3008gtline1.6lbva,2024,0,essence,9,165,1598,Automatique,Neuf,169900
mercedesbenz,classea,2013,131000,essence,6,122,1595,Automatique,Occasion,78000
bmw,série5,2012,197000,essence,10,0,1998,Automatique,Occasion,79900
mahindra,kuv100,2024,9000,essence,5,0,899,Manuelle,Occasion,37500
seat,leon,2014,110000,essence,6,0,1197,Automatique,Occasion,54000
bmw,x3,2020,69500,diesel,8,150,1995,Automatique,Occasion,220000
ssangyong,rexton2.2ldieselbva5places,2024,0,diesel,12,202,2157,Automatique,Neuf,312300
ford,ecosport,2019,71000,essence,7,0,900,Manuelle,Occasion,61900
toyota,landcruiser,2003,316620,diesel,12,173,3000,Automatique,Occasion,119000
mitsubishi,pajerosport,1999,510000,diesel,9,0,2498,Manuelle,Occasion,45000
haval,h6,2020,115000,essence,9,143,1559,Automatique,Occasion,79000
ford,focus,2016,130000,essence,6,125,1000,Manuelle,Occasion,41800
bmw,x5,2007,283000,diesel,15,0,2998,Automatique,Occasion,68500
mg,51.5lconfort,2024,0,essence,6,120,1498,Manuelle,Neuf,63950
mazda,3,2017,135000,essence,6,0,0,Manuelle,Occasion,58500
seat,leonsc,2018,129000,essence,6,110,1200,Manuelle,Occasion,49500
peugeot,3008,2018,30000,essence,9,0,1600,Automatique,Occasion,95000
toyota,landcruiser3003.3lv6biturbodiesel4wdvx,2024,0,diesel,21,306,3346,Automatique,Neuf,540000
landrover,rangerover3.0lp460phevse,2024,0,essence | hybride rechargeable,16,460,2997,Automatique,Neuf,723000
seat,ateca20201.4ltsistyle,2024,0,essence,8,150,1395,Automatique,Neuf,124980
mercedesbenz,classea,2014,167000,diesel,6,109,1500,Automatique,Occasion,71000
porsche,panamera,2009,192000,essence,30,400,4798,Automatique,Occasion,165000
audi,q3sportback35tfsistronicbusinesslimited,2024,0,essence,9,150,1498,Automatique,Neuf,235000
mercedesbenz,classec,2016,176000,essence,8,156,1595,Automatique,Occasion,90000
peugeot,408gt1.6lbva,2024,0,essence,13,215,1598,Automatique,Neuf,160900
opel,comboconfortxl1.6ldiesell2h11000kgbusinessedition,2024,0,diesel,5,92,1560,Manuelle,Neuf,66900
volkswagen,tcross1.0lconfortline,2024,0,essence,6,116,999,Manuelle,Neuf,75980
dfsk,k01ssimplecabinedlx,2024,0,essence,5,58,1000,Manuelle,Neuf,31900
mercedesbenz,classec,2013,179000,essence,8,156,1595,Automatique,Occasion,85000
fiat,doblo1.6lhdivanclub,2024,0,diesel,5,92,1560,Manuelle,Neuf,67490
nissan,qashqai,2010,228000,diesel,6,106,1461,Manuelle,Occasion,37000
chery,tiggo3x,2022,47000,essence,6,102,998,Automatique,Occasion,52000
peugeot,3008,2010,230000,essence,7,0,1599,Manuelle,Occasion,33000
ford,figo,2013,232000,essence,5,70,5000,Manuelle,Occasion,20500
mercedesbenz,classec,2020,63000,essence,8,0,1600,Automatique,Occasion,139000
seat,leoncupra,2018,135000,essence,17,280,1984,Automatique,Occasion,87000
dongfeng,t5evo1.5lturbo,2024,0,essence,9,176,1500,Automatique,Neuf,122700
ford,focus,2018,161000,essence,6,0,999,Manuelle,Occasion,39900
mercedesbenz,classee,2020,70000,hybride rechargeable essence,12,211,2000,Automatique,Occasion,260000
mercedesbenz,classeccoupé,2018,130000,essence,8,0,1599,Automatique,Occasion,167000
nissan,qashqai,2011,245000,diesel,6,110,1461,Manuelle,Occasion,39500
skoda,fabia,2015,113700,essence,4,0,999,Manuelle,Occasion,33500
hyundai,grandi10,2022,30000,essence,5,0,1199,Manuelle,Occasion,53000
bmw,série3coupé,2009,232000,essence,7,0,1598,Manuelle,Occasion,39900
audi,a5sportback,2020,85000,essence,8,0,1400,Automatique,Occasion,147000
renault,clio,2020,110000,essence,5,0,1050,Manuelle,Occasion,41000
bmw,série4coupé,2017,78000,essence,7,0,0,Automatique,Occasion,110000
audi,a5coupé,2014,109000,essence,9,0,4000,Automatique,Occasion,75000
peugeot,20081.2lpuretech130bvaallure2024,2024,0,essence,7,130,1199,Automatique,Neuf,104900
mercedesbenz,classee,2024,0,hybride essence,10,204,1999,Automatique,Occasion,435000
landrover,rangerovervelar,2020,55000,diesel,10,180,1998,Automatique,Occasion,258000
mg,hs,2021,78000,essence,10,162,1490,Automatique,Occasion,77500
bmw,x218isdrivelounge,2024,0,essence,8,156,1499,Automatique,Neuf,199900
renault,clio,2021,149000,essence,5,0,1198,Manuelle,Occasion,43900
audi,q3sportback,2021,10000,essence,8,0,0,Automatique,Occasion,188000
mercedesbenz,classee,2009,161000,diesel,12,204,2500,Automatique,Occasion,59000
citroen,jumper2.2lhdil2h211.5m3,2024,0,diesel,7,140,2179,Manuelle,Neuf,91900
volkswagen,tiguan,2021,123000,essence,8,0,1499,Manuelle,Occasion,95000
kia,xceed,2023,48000,essence,9,160,1500,Automatique,Occasion,97500
kia,sportage,2021,50000,essence,11,0,1600,Automatique,Occasion,112000
volkswagen,caddy,2019,114000,diesel,5,75,1600,Manuelle,Occasion,48000
peugeot,308,2023,48000,diesel,7,130,1500,Automatique,Occasion,126000
mercedesbenz,ml,2010,230000,diesel,14,231,6000,Automatique,Occasion,68000
bmw,série4grancoupé,2017,48000,essence,7,0,1500,Automatique,Occasion,100000
ford,transitcustom,2019,110000,diesel,7,105,2200,Manuelle,Occasion,58900
opel,crossland1.2l110chat6elegance,2024,0,essence,6,110,1199,Automatique,Neuf,89900
mg,zs,2022,67000,essence,7,0,1498,Automatique,Occasion,77900
bmw,x6,2010,200000,diesel,15,245,3000,Automatique,Occasion,98000
mercedesbenz,gla,2022,37000,hybride rechargeable essence,8,0,1500,Automatique,Occasion,192000
bestune,t77pro,2022,33000,essence,9,160,1498,Automatique,Occasion,141120
mercedesbenz,cla,2013,160000,essence,8,156,1800,Automatique,Occasion,78000
skoda,kushaq1.0tsibvaambition,2024,0,essence,7,116,999,Automatique,Neuf,82980
porsche,panamera,2012,170000,essence,21,300,1993,Automatique,Occasion,135000
kia,sportage,2010,230000,diesel,10,0,1800,Manuelle,Occasion,49000
mg,one1.5lbva,2024,0,essence,10,180,1490,Automatique,Neuf,103950
landrover,rangerovervelar,2019,107000,essence,16,250,1997,Automatique,Occasion,220000
chery,arrizo51.5lbvm,2024,0,essence,7,115,1499,Manuelle,Neuf,63490
ford,fiesta,2008,260000,essence,5,0,1198,Manuelle,Occasion,24500
kia,rio5p,2021,107000,essence,5,84,1200,Manuelle,Occasion,62500
byd,atto3bev,2024,0,electrique,5,204,0,Automatique,Neuf,123990
suzuki,fronx1.5lbvm,2024,0,essence,6,105,1462,Manuelle,Neuf,76900
mercedesbenz,glc,2018,130000,hybride rechargeable essence,10,211,1991,Automatique,Occasion,197000
renault,austral1.3l,2024,0,essence,8,150,1332,Automatique,Neuf,134900
toyota,hiluxdoublecabine,2019,114000,diesel,8,0,2398,Manuelle,Occasion,160000
kia,sportage,2011,232000,essence,11,0,1999,Automatique,Occasion,47000
hyundaitrucks,h350,2022,26000,diesel,10,0,1900,Manuelle,Occasion,74000
suzuki,swift,2021,80000,essence,5,90,1198,Manuelle,Occasion,41800
citroën,jumper,2010,476000,diesel,7,0,2198,Manuelle,Occasion,29500
porsche,macan,2022,6900,essence,17,0,2000,Automatique,Occasion,375000
kia,cerato,2013,290000,essence,7,0,1591,Manuelle,Occasion,38000
renault,meganesedan,2021,70000,essence,7,0,1197,Manuelle,Occasion,60000
bmw,série3,2012,242500,essence,10,0,1999,Manuelle,Occasion,55000
mercedesbenz,classee,2024,0,essence,11,204,2000,Automatique,Occasion,430000
kia,picanto,2021,28000,essence,4,0,1200,Automatique,Occasion,46500
mg,464kwhluxuryplus,2024,0,electrique,5,205,0,,Neuf,99950
peugeot,208,2020,11000,essence,4,0,999,Manuelle,Occasion,39000
kia,sportage1.6ltgdi7dctex,2024,0,essence,10,180,1598,Automatique,Neuf,140980
mercedesbenz,glccoupé,2024,0,essence,15,258,2000,Automatique,Occasion,420000
honda,city1.5lcvtlx2023,2024,0,essence,6,120,1498,Automatique,Neuf,78990
ford,ecosport,2019,151000,essence,7,0,1000,Automatique,Occasion,55000
kia,sportage,2022,60,essence,10,150,1000,Automatique,Occasion,122000
mercedesbenz,cla,2018,125043,essence,7,122,1600,Automatique,Occasion,97000
ssangyong,korando1.5lgdilimitedbva,2024,0,essence,9,163,1497,Automatique,Neuf,124980
volkswagen,golf8,2023,23000,essence,6,110,999,Manuelle,Occasion,104000
audi,q3,2022,50000,essence,9,0,1400,Automatique,Occasion,155000
fiat,siena,2004,300000,essence,5,0,1398,Manuelle,Occasion,18500
mercedesbenz,gla,2015,104000,essence,8,156,1595,Automatique,Occasion,95000
mercedesbenz,cls,2011,160000,diesel,11,0,2500,Automatique,Occasion,119000
kia,stonic1.2lbvmsx,2024,0,essence,5,84,1197,Manuelle,Neuf,77980
ford,ecosport,2022,44000,essence,7,125,1000,Manuelle,Occasion,67000
bmw,série3,2015,131000,essence,7,136,1598,Manuelle,Occasion,66000
audi,a4,2007,241000,essence,11,0,1984,Automatique,Occasion,50000
mercedesbenz,glb,2023,16000,essence,9,163,1330,Automatique,Occasion,184000
ford,mustang,2010,16000,essence,28,0,4000,Automatique,Occasion,115000
peugeot,20081.2lpuretech130bvaactivepack2024,2024,0,essence,7,130,1199,Automatique,Neuf,97900
mercedesbenz,cla,2023,30000,essence,7,136,1300,Automatique,Occasion,188000
seat,ibiza,2014,148000,essence,5,0,1196,Manuelle,Occasion,34000
wallyscar,iris,2020,137000,essence,4,82,1199,Manuelle,Occasion,30000
bmw,i5edrive40packm,2024,0,electrique,0,340,0,Automatique,Neuf,333200
landrover,rangeroverevoque,2021,59000,hybride essence,16,0,1999,Automatique,Occasion,218000
renault,clio,2021,122000,essence,5,0,899,Manuelle,Occasion,41500
kia,sportagehybride1.6ltgdi4x2gtline,2024,0,essence | hybride,10,230,1598,Automatique,Neuf,174980
citroën,c4,2014,222000,diesel,6,112,1600,Manuelle,Occasion,39000
peugeot,2083p,2017,104000,essence,5,0,1198,Manuelle,Occasion,29900
toyota,tundra,2013,106000,essence,22,0,5663,Automatique,Occasion,260000
kia,optima,2013,176000,essence,10,0,1998,Automatique,Occasion,45500
mercedesbenz,glccoupé,2022,45000,hybride essence,12,211,1998,Automatique,Occasion,280000
mg,ehs,2022,55000,hybride rechargeable essence,8,162,1490,Automatique,Occasion,105000
peugeot,408gt,2024,10000,essence,11,0,1699,Automatique,Occasion,155000
hyundai,grandi101.2lbvahighgrade2024,2024,0,essence,5,83,1197,Automatique,Neuf,60950
peugeot,2008,2015,60000,essence,5,0,1198,Manuelle,Occasion,45000
suzuki,swift,2020,220000,essence,5,85,1200,Manuelle,Occasion,33500
mercedesbenz,classee,2003,276000,essence,10,0,1998,Automatique,Occasion,32000
dacia,duster,2020,34000,essence,6,0,1598,Manuelle,Occasion,76000
alfaromeo,giulietta,2012,160000,essence,9,170,1400,Manuelle,Occasion,40000
mercedesbenz,gle300d4maticamg2023,2024,0,diesel | hybride léger,17,269,1993,Automatique,Neuf,568000
peugeot,2008,2018,61000,essence,6,110,1200,Automatique,Occasion,49000
suzuki,ciaz1.5lgl,2024,0,essence,6,105,1462,Manuelle,Neuf,62900
seat,ibiza,2018,100000,essence,4,75,999,Manuelle,Occasion,48500
mazda,cx9,2010,200000,essence,20,0,3726,Automatique,Occasion,40000
fiat,500,2021,98000,essence,4,120,1000,Automatique,Occasion,47000
audi,a3sportback,2018,210000,essence,6,0,1000,Manuelle,Occasion,69000
kia,rio5p,2021,130000,essence,5,0,1200,Manuelle,Occasion,49000
citroën,c4,2017,87000,essence,5,130,1200,Manuelle,Occasion,45000
bestune,bestunet771.5lbvapremium,2024,0,essence,9,160,1498,Automatique,Neuf,118777
baicyx,kenbos2,2018,114000,essence,7,112,1498,Manuelle,Occasion,38000
volvo,ex30singlemotorextendedrange,2024,0,electrique,5,272,0,Automatique,Neuf,159900
ford,ecosport,2020,68000,essence,7,0,999,Manuelle,Occasion,60000
ssangyong,torres1.5ltgdibva,2024,0,essence,9,163,1497,Automatique,Neuf,184580
kia,optima,2012,379000,essence,10,0,1998,Automatique,Occasion,38000
nissan,juke,2014,163166,essence,7,117,1600,Automatique,Occasion,51000
bmw,série3,1988,180000,diesel,7,86,2400,Manuelle,Occasion,20900
kia,sportage,2020,40000,essence,8,0,1600,Automatique,Occasion,119000
mini,3portes,2007,177000,essence,7,120,1598,Manuelle,Occasion,29800
citroen,berlingovan1.6lhdi1000kg,2024,0,diesel,5,92,1560,Manuelle,Neuf,68490
haval,h6,2019,70000,essence,9,143,1499,Automatique,Occasion,82000
mg,zs,2020,96000,essence,7,0,1498,Automatique,Occasion,65000
landrover,rangerovervelar,2019,60000,diesel,11,0,1998,Automatique,Occasion,330000
toyota,chr,2022,55000,essence,6,0,1399,Automatique,Occasion,91000
ford,fusion,2015,146000,essence,9,0,1498,Manuelle,Occasion,45000
mercedesbenz,cls,2009,178000,essence,15,0,2897,Automatique,Occasion,57500
mercedesbenz,classec,2009,149000,essence,11,184,1796,Automatique,Occasion,53000
kia,rio5p,2022,85000,essence,5,0,1199,Manuelle,Occasion,59650
mg,zs1.5lluxurycvt,2024,0,essence,7,115,1498,Automatique,Neuf,86950
hyundai,autre,2021,26000,diesel,8,0,2498,Manuelle,Occasion,72000
bmw,série3,2018,177000,essence,7,136,1498,Automatique,Occasion,85000
chery,tiggo8pro,2022,47000,essence,11,197,1598,Automatique,Occasion,97000
toyota,prado,2010,310000,diesel,9,0,2700,Manuelle,Occasion,130000
bmw,x5,2015,170000,diesel,13,0,2000,Automatique,Occasion,148000
volkswagen,tiguan,2018,97000,diesel,8,150,1998,Automatique,Occasion,156000
bmw,x1,2022,21000,essence,9,156,1499,Automatique,Occasion,175000
volkswagen,tcross1.0ltopline,2024,0,essence,7,116,999,Automatique,Neuf,104980
kia,rio5p,2021,124000,essence,5,84,1198,Manuelle,Occasion,49800
